Cod Depto,Departamento,Cod en texto ,Municipio,Dirección Territorial ,Director Territorial ,Alcalde,Población 2017,No. Víctimas por Declaración,No. Sujetos Atención ,"Acto terrorista , Atentados, Combates, Enfrentamientos , Hostigamientos",Amenaza,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,Desaparición forzada,Desplazamiento Forzado,"Homicidio, Masacre","Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",Secuestro,Tortura,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",Abandono o Despojo Forzado de Tierras,Perdida de Bienes Muebles o Inmuebles 
5,Antioquia,5101, Ciudad Bolívar,Antioquia,Jorge Mario Alzate Maldonado,Antonio De Jesús Castaño González,26828,2844,2112,32,208,11,10,2426,541,4,17,8,1,0,22
5,Antioquia,5107, Briceño,Antioquia,Jorge Mario Alzate Maldonado,José Danilo Agudelo Torres,8682,2741,2166,35,42,2,34,2744,371,21,5,0,1,0,24
5,Antioquia,5113, Buriticá,Antioquia,Jorge Mario Alzate Maldonado,Humberto Antonio Castaño Usuga,6531,4355,3279,6,40,1,0,4501,117,0,0,0,1,0,18
5,Antioquia,5120, Cáceres,Antioquia,Jorge Mario Alzate Maldonado,José Mercedes Berrio Berrio,39918,8946,7376,40,445,6,92,9111,361,19,1,6,3,0,12
5,Antioquia,5125, Caicedo,Antioquia,Jorge Mario Alzate Maldonado,German Darío Zapata Ferraro,8330,1023,746,9,8,0,15,770,225,5,7,1,0,0,29
5,Antioquia,5129, Caldas,Antioquia,Jorge Mario Alzate Maldonado,Carlos Eduardo Duran Franco,79652,4031,3031,17,325,7,32,3419,750,2,8,0,0,0,20
5,Antioquia,5134, Campamento,Antioquia,Jorge Mario Alzate Maldonado,Jorge Iván Duran Lopera,8970,2031,1504,184,896,1,79,1490,451,27,87,26,1,0,27
5,Antioquia,5138, Cañasgordas,Antioquia,Jorge Mario Alzate Maldonado,Margarita Del Rosario Lopera Cardona,16745,4148,3404,16,79,8,14,3745,444,7,15,0,1,0,36
5,Antioquia,5142, Caracolí,Antioquia,Jorge Mario Alzate Maldonado,Luis Emilio Giraldo Velásquez,4543,767,625,3,272,3,14,625,119,1,23,14,0,0,8
5,Antioquia,5145, Caramanta,Antioquia,Jorge Mario Alzate Maldonado,Carlos Mario Patiño García,5321,464,347,0,50,5,0,314,165,0,2,1,0,0,1
5,Antioquia,5148, El Carmen De Vibora,Antioquia,Jorge Mario Alzate Maldonado,Néstor Fernando Zuluaga Giraldo,47915,7913,6052,14,20,48,45,6743,1381,14,20,3,2,0,49
5,Antioquia,5150, Carolina,Antioquia,Jorge Mario Alzate Maldonado,Ana Isabel Avendaño Duque,3552,485,353,1,10,0,2,369,117,1,0,0,0,0,5
5,Antioquia,5154, Caucasia,Antioquia,Jorge Mario Alzate Maldonado,Oscar Aníbal Suarez,117670,23492,18403,50,1184,20,325,22809,1283,6,12,5,18,0,103
5,Antioquia,5190, Cisneros,Antioquia,Jorge Mario Alzate Maldonado,Luis Guillermo Álvarez González,8932,1835,1393,10,8,9,44,1560,277,1,14,0,0,0,0
5,Antioquia,5197, Cocorná,Antioquia,Jorge Mario Alzate Maldonado,Johan Alberto Ramírez Mejía,14945,19541,16827,67,96,12,50,19059,1150,31,132,0,5,0,115
5,Antioquia,5206, Concepción,Antioquia,Jorge Mario Alzate Maldonado,Henry Alberto Puerta Franco,3284,2126,1495,3,24,1,16,1985,292,1,7,0,0,0,10
5,Antioquia,5209, Concordia,Antioquia,Jorge Mario Alzate Maldonado,Diego Alejandro Restrepo Guerra,20476,2882,2308,119,1373,40,71,2743,417,1,17,21,1,0,110
5,Antioquia,5212, Copacabana,Antioquia,Jorge Mario Alzate Maldonado,Oscar Restrepo,71885,4790,3700,10,29,11,42,4312,547,4,12,2,2,0,39
5,Antioquia,5234, Dabeiba,Antioquia,Jorge Mario Alzate Maldonado,Antonio José Lara Várelas ,23176,18646,15821,59,1935,12,135,18551,797,59,19,5,25,0,328
5,Antioquia,5237, Donmatías,Antioquia,Jorge Mario Alzate Maldonado,Yudy Marcela Peña Correa,23209,2375,2079,5,202,10,18,2235,184,0,2,1,2,0,8
5,Antioquia,5240, Ebéjico,Antioquia,Jorge Mario Alzate Maldonado,Jorge Iván Vásquez Arboleda,12507,276,206,6,16,0,16,191,74,0,7,1,0,0,1
5,Antioquia,5250, El Bagre,Antioquia,Jorge Mario Alzate Maldonado,Ángel Mesa Castro,50242,19937,14183,82,973,4,32,20597,293,16,7,2,38,0,69
5,Antioquia,5264, Entrerrios,Antioquia,Jorge Mario Alzate Maldonado,Jorge Alonso Tamayo Villa,10248,351,284,1,13,1,0,309,44,0,1,0,0,0,2
5,Antioquia,5266, Envigado,Antioquia,Jorge Mario Alzate Maldonado,Raúl Eduardo Cardona González,232903,5864,4704,74,1415,12,95,4927,1249,1,65,3,0,0,49
5,Antioquia,5282, Fredonia,Antioquia,Jorge Mario Alzate Maldonado,Gabriel Ignacio Muñoz Gómez,21283,1005,807,5,14,3,18,701,309,0,5,0,0,0,2
5,Antioquia,5284, Frontino,Antioquia,Jorge Mario Alzate Maldonado,Yudy Estella Pulgarin Marín,16008,12639,10574,21,57,9,68,12683,523,4,123,3,2,0,43
5,Antioquia,5306, Giraldo,Antioquia,Jorge Mario Alzate Maldonado,Wilmar Adrián Manco Hernández,3992,683,590,2,230,0,5,577,126,0,1,3,0,0,2
5,Antioquia,5308, Girardota,Antioquia,Jorge Mario Alzate Maldonado,Yan Bladimir Jaramillo García,56755,2602,1869,15,27,7,0,2295,350,2,12,1,2,0,16
5,Antioquia,5310, Gómez Plata,Antioquia,Jorge Mario Alzate Maldonado,Luis Guillermo Pérez Echeverri,13115,801,583,14,2,6,10,594,201,1,3,0,1,0,4
5,Antioquia,5313, Granada,Antioquia,Jorge Mario Alzate Maldonado,Omar De Jesús Gómez Aristizabal ,9873,21691,18489,136,423,116,56,21214,1574,49,114,30,0,0,748
5,Antioquia,5315, Guadalupe,Antioquia,Jorge Mario Alzate Maldonado,Oscar Antonio Quiroz García,6313,663,514,8,27,2,0,370,156,12,0,0,2,0,131
5,Antioquia,5318, Guarne,Antioquia,Jorge Mario Alzate Maldonado,Sneyder Willington Quiceno Marín,49533,3796,3293,29,1164,18,25,3350,625,1,27,6,0,0,4
5,Antioquia,5321, Guatape,Antioquia,Jorge Mario Alzate Maldonado,Hernán Darío Urrea Castaño,5167,2722,1909,9,105,7,14,2824,312,3,6,2,0,0,21
5,Antioquia,5347, Heliconia,Antioquia,Jorge Mario Alzate Maldonado,Argeni De Jesús Taborda Ortiz,5757,1305,1093,7,7,0,13,1116,200,0,0,0,0,0,2
5,Antioquia,5353, Hispania,Antioquia,Jorge Mario Alzate Maldonado,Jorge Alberto Vanegas Díaz,4879,456,352,0,10,0,7,357,108,0,0,0,0,0,2
5,Antioquia,5360, Itagui,Antioquia,Jorge Mario Alzate Maldonado,León Mario Bedoya López,273927,18388,14405,57,133,21,152,16219,2618,12,57,27,2,0,77
5,Antioquia,5361, Ituango,Antioquia,Jorge Mario Alzate Maldonado,Hernán Darío Álvarez Uribe,20273,18395,13488,117,89,18,110,20546,977,120,19,15,15,0,416
5,Antioquia,5364, Jardín,Antioquia,Jorge Mario Alzate Maldonado,William Enrique Rendón Agudelo,13596,1071,843,15,19,0,6,896,129,1,81,1,0,0,7
5,Antioquia,5368, Jericó,Antioquia,Jorge Mario Alzate Maldonado,Jorge Andrés Pérez Hernández,11939,481,380,2,1,1,6,358,125,0,2,3,0,0,2
5,Antioquia,5376, La Ceja,Antioquia,Jorge Mario Alzate Maldonado,Elkin Rodolfo Ospina Ospina,53993,7258,5757,59,140,37,53,6612,772,1,30,9,4,0,16
5,Antioquia,5380, La Estrella,Antioquia,Jorge Mario Alzate Maldonado,Jhonny Alexander García Yepes,64315,3640,3071,16,1079,14,32,3197,555,0,14,5,3,0,17
5,Antioquia,5390, La Pintada,Antioquia,Jorge Mario Alzate Maldonado,Cesar Augusto Zapata Pérez,6452,1214,1012,14,153,0,15,908,259,0,2,0,0,0,97
5,Antioquia,5400, La Unión,Antioquia,Jorge Mario Alzate Maldonado,Hugo Botero López,19324,11677,9866,14,69,33,9,11555,646,2,13,6,5,0,63
5,Antioquia,5411, Liborina,Antioquia,Jorge Mario Alzate Maldonado,Oscar Alveiro Henao Pulgarín,9558,4737,4003,23,557,31,40,4574,329,1,11,22,3,0,65
5,Antioquia,5425, Maceo,Antioquia,Jorge Mario Alzate Maldonado,Edgar Alirio González Agudelo,6696,2935,2255,70,717,257,17,2214,300,3,291,46,1,0,38
5,Antioquia,5440, Marinilla,Antioquia,Jorge Mario Alzate Maldonado,Edgar Augusto Villegas Ramírez,55000,10927,8949,37,51,16,52,10463,861,24,17,3,1,0,100
5,Antioquia,5467, Montebello,Antioquia,Jorge Mario Alzate Maldonado,Ferdinando De Jesús Muñoz Álvarez,5950,2383,2037,6,16,0,9,2120,289,5,3,0,1,0,2
5,Antioquia,5483, Nariño,Antioquia,Jorge Mario Alzate Maldonado,Carlos Arturo Marín Londoño,17686,9826,8438,21,165,10,17,9701,558,16,11,1,4,0,55
5,Antioquia,5495, Nechí,Antioquia,Jorge Mario Alzate Maldonado,Miguel Enrique Franco Menco,27915,9925,6806,7,81,9,49,9929,146,3,5,2,4,0,11
5,Antioquia,5501, Olaya,Antioquia,Jorge Mario Alzate Maldonado,Ober De Jesús Hernández Acevedo,3310,502,322,1,82,0,7,395,169,0,3,2,0,0,1
5,Antioquia,5541, Peñol,Antioquia,Jorge Mario Alzate Maldonado,José Cirilo Henao Jaramillo,15802,4911,3729,8,134,92,3,4298,706,3,9,9,1,0,115
5,Antioquia,5543, Peque,Antioquia,Jorge Mario Alzate Maldonado,Adalberto Valle David,11199,10736,9532,6,56,0,28,11224,285,6,28,0,6,0,245
5,Antioquia,5576, Pueblorrico,Antioquia,Jorge Mario Alzate Maldonado,Juan Fernando Ruiz Gallego,6793,502,377,10,6,0,7,453,57,0,0,0,0,0,1
5,Antioquia,5591, Puerto Triunfo,Antioquia,Jorge Mario Alzate Maldonado,Madeline Arias Giraldo,20893,6740,5282,7,38,18,38,6604,244,2,30,5,1,0,16
5,Antioquia,5604, Remedios,Antioquia,Jorge Mario Alzate Maldonado,Lucia Del Socorro Carvajal De Silvera,30613,6173,4664,19,168,64,30,5140,1118,15,31,8,21,0,27
5,Antioquia,5607, Retiro,Antioquia,Jorge Mario Alzate Maldonado,Juan Camilo Botero Rendón,19507,2257,1882,9,27,9,7,2051,292,1,14,1,0,0,18
5,Antioquia,5615, Rionegro,Antioquia,Jorge Mario Alzate Maldonado,Andrés Julián Rendón Cardona,124219,15489,12824,90,382,24,50,15098,1080,10,114,16,17,0,110
5,Antioquia,5628, Sabanalarga,Antioquia,Jorge Mario Alzate Maldonado,Cesar Alonso Cuadros George,8191,5481,4379,53,269,9,9,5841,143,5,6,0,1,0,7
5,Antioquia,5631, Sabaneta,Antioquia,Jorge Mario Alzate Maldonado,Iván Alonso Montoya Urrego,53236,2837,2221,21,100,10,31,2440,445,0,27,4,0,0,14
5,Antioquia,5642, Salgar,Antioquia,Jorge Mario Alzate Maldonado,Carlos Emel Cuervo Cañola,17469,4617,2648,11,271,11,53,4203,521,1,7,4,0,0,22
5,Antioquia,5647, San Andrés De Cuerq,Antioquia,Jorge Mario Alzate Maldonado,Eduar Rolando Pino Arango,6024,2296,1636,94,331,3,13,2019,290,13,2,0,2,0,31
5,Antioquia,5649, San Carlos,Antioquia,Jorge Mario Alzate Maldonado,Luz Marina Marín Daza,16111,16058,13669,85,68,39,65,14766,2376,80,56,5,4,0,659
5,Antioquia,5652, San Francisco,Antioquia,Jorge Mario Alzate Maldonado,Serbulo De Jesús Guzmán Castrillón,5119,8683,7492,132,175,46,26,8978,579,53,239,9,5,0,216
5,Antioquia,5656, San Jerónimo,Antioquia,Jorge Mario Alzate Maldonado,Donaldo Fernán Vivares Gallego,12811,885,669,1,4,3,9,684,190,2,7,0,0,0,0
5,Antioquia,5658, San José De La Mont,Antioquia,Jorge Mario Alzate Maldonado,John Alexander Yepes Restrepo,3401,620,505,5,187,0,8,589,80,3,4,0,0,0,16
5,Antioquia,5660, San Luis,Antioquia,Jorge Mario Alzate Maldonado,José Maximino Castaño Castaño,10929,22237,17946,37,35,25,40,22879,763,41,74,3,10,0,193
5,Antioquia,5664, San Pedro De Los Mi,Antioquia,Jorge Mario Alzate Maldonado,Héctor Darío Pérez Piedrahita,27513,1867,1578,9,38,1,14,1669,220,0,9,0,0,0,3
5,Antioquia,5667, San Rafael,Antioquia,Jorge Mario Alzate Maldonado,Abad De Jesús Marín Arcila,12874,16686,14399,62,223,24,31,19737,1311,17,28,1,3,0,257
5,Antioquia,5670, San Roque,Antioquia,Jorge Mario Alzate Maldonado,Freddy Osvaldo Rodríguez Henao,16520,7263,5394,21,29,11,62,6968,554,7,4,3,5,0,20
5,Antioquia,5674, San Vicente Ferrer,Antioquia,Jorge Mario Alzate Maldonado,Roberto De Jesús Jaramillo Marín,16733,7418,5635,30,297,73,9,6965,455,1,4,9,2,0,21
5,Antioquia,5679, Santa Bárbara,Antioquia,Jorge Mario Alzate Maldonado,Mónica María Ocampo Restrepo,21754,3132,2464,5,7,1,17,2663,565,1,0,0,1,0,9
5,Antioquia,5686, Santa Rosa De Osos,Antioquia,Jorge Mario Alzate Maldonado,María Del Carmen Roldan Arango,36548,1946,1491,17,534,9,19,1692,407,1,5,0,0,0,9
5,Antioquia,5690, Santo Domingo,Antioquia,Jorge Mario Alzate Maldonado,Liceth Astrid Márquez Vergara,10173,3066,2337,19,86,16,8,2557,623,3,9,3,1,0,28
5,Antioquia,5697, El Santuario,Antioquia,Jorge Mario Alzate Maldonado,Luis Alexandri Ramírez Duque,27233,8487,7358,23,372,14,45,7666,941,3,8,6,3,0,6
5,Antioquia,5736, Segovia,Antioquia,Jorge Mario Alzate Maldonado,Gustavo Alonso Tobón Vélez,41205,4838,3709,36,35,3,40,3814,1156,18,3,0,5,0,48
5,Antioquia,5756, Sonson,Antioquia,Jorge Mario Alzate Maldonado,Obed De Jesús Zuluaga Henao,34696,14772,12605,55,152,34,53,14065,1142,39,125,24,7,0,60
5,Antioquia,5761, Sopetrán,Antioquia,Jorge Mario Alzate Maldonado,Yeison Estiven Paniagua Gutiérrez,14936,1176,898,0,13,35,21,977,206,1,1,1,0,0,1
5,Antioquia,5789, Támesis,Antioquia,Jorge Mario Alzate Maldonado,Iván Alexander Zuluaga Zuluaga,14391,1065,734,3,50,2,11,887,267,1,1,1,1,0,15
5,Antioquia,5790, Tarazá,Antioquia,Jorge Mario Alzate Maldonado,Gladis Rebeca Miguel Vides,45083,16608,14025,73,152,8,217,16540,1015,100,5,0,19,0,195
5,Antioquia,5792, Tarso,Antioquia,Jorge Mario Alzate Maldonado,Néstor Fernando Romero Villada,7955,311,252,0,112,0,3,167,151,0,1,0,0,0,6
5,Antioquia,5809, Titiribí,Antioquia,Jorge Mario Alzate Maldonado,Santiago Andrés Ochoa Marín,14602,604,394,2,9,2,7,376,229,0,2,1,0,0,0
5,Antioquia,5819, Toledo,Antioquia,Jorge Mario Alzate Maldonado,Jhonny Alberto Marín Muñeton,6552,2619,1981,121,457,7,12,2477,256,3,2,2,1,0,16
5,Antioquia,5842, Uramita,Antioquia,Jorge Mario Alzate Maldonado,Luis Alfredo Torres Arango,8221,5460,4689,13,79,1,11,5363,223,9,6,0,0,0,11
5,Antioquia,5847, Urrao,Antioquia,Jorge Mario Alzate Maldonado,Herbert Henry Holguín Díaz,45896,28966,24477,50,115,12,52,29255,943,9,12,0,5,0,250
5,Antioquia,5854, Valdivia,Antioquia,Jorge Mario Alzate Maldonado,Jonas Darío Henao Cardona,23333,5457,4306,98,516,2,61,4905,725,45,37,3,2,0,37
5,Antioquia,5856, Valparaíso,Antioquia,Jorge Mario Alzate Maldonado,Sergio Andrés Ceballos López,6131,556,413,2,20,2,28,438,113,4,0,0,0,0,5
5,Antioquia,5858, Vegachí,Antioquia,Jorge Mario Alzate Maldonado,José María Ochoa Muñoz,9108,2960,2337,24,111,2,39,2607,553,9,10,1,1,0,7
5,Antioquia,5861, Venecia,Antioquia,Jorge Mario Alzate Maldonado,Ferney Darío Fernández,13208,829,661,5,84,5,12,674,112,1,1,1,0,0,4
5,Antioquia,5873, Vigía Del Fuerte,Antioquia,Jorge Mario Alzate Maldonado,Manuel Enrique Cuesta Borja,5606,7759,5489,22,114,3,6,7893,123,0,2,1,0,0,115
5,Antioquia,5885, Yalí,Antioquia,Jorge Mario Alzate Maldonado,Raúl Hernando Roldan Pérez,8486,797,579,1,24,2,12,450,340,0,10,4,1,0,1
5,Antioquia,5887, Yarumal,Antioquia,Jorge Mario Alzate Maldonado,Julio Aníbal Areiza Palacio,47995,10064,8099,58,13,20,220,8507,1614,44,145,3,7,0,57
5,Antioquia,5890, Yolombó,Antioquia,Jorge Mario Alzate Maldonado,Jesús Amador Pérez Palacio,24809,4540,3532,12,87,9,51,3608,963,7,11,2,5,0,7
5,Antioquia,5895, Zaragoza,Antioquia,Jorge Mario Alzate Maldonado,Albeiro De Jesús Menoyos Alvarez,31503,6806,5433,20,5,1,37,7674,295,12,3,0,0,0,2
8,Atlántico,8001, Barranquilla,Atlántico,Alfredo Enrique Palencia Molina,Alejandro Char Chaljub,1228271,146061,113121,865,617,570,3006,132898,15168,37,259,164,29,0,265
8,Atlántico,8078, Baranoa,Atlántico,Alfredo Enrique Palencia Molina,Lázaro Rafael Escalante Estrada,58989,2067,1618,2,31,3,8,2011,118,0,1,0,0,0,1
8,Atlántico,8137, Campo De La Cruz,Atlántico,Alfredo Enrique Palencia Molina,José De Jesús León Marenco,15482,1005,723,0,51,0,5,995,37,0,0,1,0,0,22
8,Atlántico,8141, Candelaria,Atlántico,Alfredo Enrique Palencia Molina,Javier Enrique Rodríguez Consuegra,12528,735,555,5,142,0,0,711,36,0,0,3,0,0,13
8,Atlántico,8296, Galapa,Atlántico,Alfredo Enrique Palencia Molina,José Fernando Vargas Muñoz,45093,3541,2554,5,136,22,4,3554,47,1,1,0,1,0,5
8,Atlántico,8372, Juan De Acosta,Atlántico,Alfredo Enrique Palencia Molina,Iván De Jesús Vargas Molina,17260,515,403,0,2,1,0,484,35,0,0,0,0,0,4
8,Atlántico,8421, Luruaco,Atlántico,Alfredo Enrique Palencia Molina,Antonio Enrique Roa Montero,27576,1135,786,2,146,3,5,1021,196,0,1,1,1,0,3
8,Atlántico,8433, Malambo,Atlántico,Alfredo Enrique Palencia Molina,Efraín Heberto Bello Camargo,125248,11142,8935,8,41,15,25,11102,165,0,1,0,0,0,3
8,Atlántico,8436, Manatí,Atlántico,Alfredo Enrique Palencia Molina,Kelly Margarita Paternina San Juan,16106,395,247,0,1,0,6,383,9,0,0,0,0,0,0
8,Atlántico,8520, Palmar De Varela,Atlántico,Alfredo Enrique Palencia Molina,Félix Alberto Fontalvo Ávila,25630,2667,2279,3,69,3,28,2666,68,0,0,1,0,0,3
8,Atlántico,8549, Piojó,Atlántico,Alfredo Enrique Palencia Molina,Wuilmer Enrique Jiménez Torregrosa,5160,348,271,2,98,1,0,354,15,0,2,1,0,0,8
8,Atlántico,8558, Polonuevo,Atlántico,Alfredo Enrique Palencia Molina,Dagoberto Luna Orozco,15539,225,181,0,23,1,3,205,19,0,0,0,0,0,0
8,Atlántico,8560, Ponedera,Atlántico,Alfredo Enrique Palencia Molina,Vanesa Iliana Bolívar Martínez,22911,1512,1243,1,15,0,10,1447,85,0,1,0,0,0,1
8,Atlántico,8573, Puerto Colombia,Atlántico,Alfredo Enrique Palencia Molina,Steimer Ali Mantilla Rolong,26869,2928,2294,10,371,13,10,2986,120,0,2,6,0,0,39
8,Atlántico,8606, Repelón,Atlántico,Alfredo Enrique Palencia Molina,Enrique Antonio Escobar Ruiz,26778,615,463,17,22,0,0,562,52,0,0,1,0,0,5
8,Atlántico,8634, Sabanagrande,Atlántico,Alfredo Enrique Palencia Molina,José Mario Romero Cahuana,33007,4671,3562,0,57,6,10,4602,126,0,0,0,0,0,1
8,Atlántico,8638, Sabanalarga,Atlántico,Alfredo Enrique Palencia Molina,José Elías Chams,100304,3451,2700,1,43,0,28,3226,240,2,0,1,0,0,3
8,Atlántico,8675, Santa Lucía,Atlántico,Alfredo Enrique Palencia Molina,Jorge Luis Polo Medina,11395,402,334,0,0,0,0,395,9,0,0,0,0,0,0
8,Atlántico,8685, Santo Tomás,Atlántico,Alfredo Enrique Palencia Molina,Luis Alberto Escorcia Castro,25567,3646,2810,0,998,19,19,3557,221,1,1,1,0,0,3
8,Atlántico,8758, Soledad,Atlántico,Alfredo Enrique Palencia Molina,José Joao Herrera Iranzo,649111,46565,37293,23,1146,459,155,45711,1676,0,12,107,2,0,163
8,Atlántico,8770, Suan,Atlántico,Alfredo Enrique Palencia Molina,Rodolfo Rafael Pacheco Pacheco,8565,564,468,5,42,2,0,554,21,0,0,0,0,0,1
8,Atlántico,8832, Tubará,Atlántico,Alfredo Enrique Palencia Molina,Natking Coll Alba,11022,460,355,1,34,0,0,403,42,0,0,0,0,0,4
8,Atlántico,8849, Usiacurí,Atlántico,Alfredo Enrique Palencia Molina,Ronald Emil Padilla Acuña,9486,77,54,0,1,0,0,76,2,0,0,0,0,0,1
13,Bolívar,13001, Cartagena,Bolívar,Miledy Galeano Paz,Manuel Vicente De Jesus Duque Vasquez,1024882,127694,96941,715,8799,618,1761,121714,9843,64,384,134,35,0,1173
13,Bolívar,13006, Achí,Bolívar,Miledy Galeano Paz,Javier Enrique Nadjar Rodríguez,23851,5449,3606,2,69,7,0,5457,89,3,19,1,0,0,12
13,Bolívar,13030, Altos Del Rosario,Bolívar,Miledy Galeano Paz,Jacinto Rodríguez Ardila,14215,7072,6336,3,8,0,2,7158,22,2,11,0,0,0,4
13,Bolívar,13052, Arjona,Bolívar,Miledy Galeano Paz,Esther María Jalilie García,75271,6787,5470,3,37,17,17,6544,400,0,6,0,0,0,8
13,Bolívar,13062, Arroyohondo,Bolívar,Miledy Galeano Paz,Carlos Paternina Orozco,10174,965,688,7,81,1,4,907,60,0,0,0,0,0,11
13,Bolívar,13074, Barranco De Loba,Bolívar,Miledy Galeano Paz,Uldarico Toloza Tundueno,18426,7369,5972,12,129,18,4,7790,126,6,3,4,0,0,4
13,Bolívar,13140, Calamar,Bolívar,Miledy Galeano Paz,Yesid Jassir Vergara,23928,959,736,6,462,15,49,797,173,0,3,1,0,0,7
13,Bolívar,13188, Cicuco,Bolívar,Miledy Galeano Paz,Alberto Viloria Fajardo,11137,783,556,0,22,5,1,769,24,0,0,0,0,0,8
13,Bolívar,13212, Córdoba,Bolívar,Miledy Galeano Paz,Karina Paola Becerra Baños,12342,15099,12745,18,105,5,52,15350,308,0,3,0,0,0,113
13,Bolívar,13222, Clemencia,Bolívar,Miledy Galeano Paz,Miguel Guillermo Grau Salcedo,12750,1388,1095,0,1,1,2,1353,72,0,0,0,0,0,8
13,Bolívar,13244, El Carmen De Bolíva,Bolívar,Miledy Galeano Paz,Rafael Gallo Paredes,76949,67588,50596,201,485,24,200,72105,2113,24,50,3,3,0,183
13,Bolívar,13248, El Guamo,Bolívar,Miledy Galeano Paz,Luz María Mercado Villalba,7771,3062,2121,43,246,30,12,3032,180,0,7,5,0,0,6
13,Bolívar,13268, El Peñón,Bolívar,Miledy Galeano Paz,Arling Arias García,9900,1470,1242,3,114,0,0,1413,83,0,2,0,0,0,19
13,Bolívar,13300, Hatillo De Loba,Bolívar,Miledy Galeano Paz,Maryolis Isabin González Amaris,12121,593,421,0,0,0,0,675,10,0,0,0,0,0,2
